Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,617.4469945
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,3.73785E+11
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,10903.10375
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,5252457370
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10176.14388
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,22999245263
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,1027.273454
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,19739875611
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,38096.83607
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,261245544.4
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,6315.312796
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,9222536364
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1947.789184
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,11622048697
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9177.71196
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1.31657E+12
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10314.05067
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,391601900
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3508.223142
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,13691869264
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,5274.605822
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,8623242743
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,223823.364
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,15286441738
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4517.61578
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,5823715810
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,9317.155201
